Flow ID,Flow status,Flow date,Amount (USD),Source Organization,Source Location,Destination Organization,Destination Location
124511,Commitment,26/01/2015,1219512,"Finland, Government of",Finland,International Federation of Red Cross and Red Crescent Societies,
127429,Paid Contribution,26/03/2015,233298,UNICEF National Committee/Finland,,United Nations Children's Fund,
126591,Commitment,26/03/2015,1335578,European Commission's Humanitarian Aid and Civil Protection Department,,ACF - France,Liberia
126592,Commitment,26/03/2015,841751,European Commission's Humanitarian Aid and Civil Protection Department,,OXFAM GB,Liberia
133134,Paid Contribution,26/06/2015,80496,Private (individuals & organizations),,World Food Programme,
131254,Commitment,26/06/2015,544662,European Commission's Humanitarian Aid and Civil Protection Department,,Office for the Coordination of Humanitarian Affairs,Guinea
118197,Paid Contribution,26/08/2014,687758,"Sweden, Government of",Sweden,Médecins sans Frontières,Liberia
120323,Paid Contribution,26/08/2014,310000,"Japan, Government of",Japan,"Liberia, Government of",Liberia
120325,Paid Contribution,26/08/2014,300000,"Japan, Government of",Japan,"Sierra Leone, Government of",Sierra Leone
119953,Commitment,26/09/2014,325000,"Sweden, Government of",Sweden,OXFAM,Sierra Leone
120328,Commitment,26/09/2014,205000,Private (individuals & organizations),,,Sierra Leone
119955,Paid Contribution,26/09/2014,325000,"Sweden, Government of",Sweden,OXFAM,Liberia
120010,Paid Contribution,26/09/2014,1641822,World Bank,,United Nations Population Fund,Sierra Leone
120096,Paid Contribution,26/09/2014,15637,Private (individuals & organizations),,Private (individuals & organizations),Nigeria
120438,Paid Contribution,26/09/2014,1131039,"Norway, Government of",Norway,Médecins sans Frontières - Norway,
120439,Paid Contribution,26/09/2014,930665,"Norway, Government of",Norway,Norwegian Refugee Council,
125640,Paid Contribution,26/10/2014,149023,"United Kingdom, Government of",United Kingdom,World Food Programme,
136008,Commitment,26/10/2015,448934,European Commission's Humanitarian Aid and Civil Protection Department,,Danish Refugee Council,Guinea
122215,Commitment,26/11/2014,7633633,"United States of America, Government of",United States,American Refugee Committee,Liberia
122216,Commitment,26/11/2014,1652992,"United States of America, Government of",United States,CARE International,Liberia
122217,Commitment,26/11/2014,6806343,"United States of America, Government of",United States,Concern Worldwide,Liberia
122218,Commitment,26/11/2014,960447,"United States of America, Government of",United States,Catholic Relief Services,Liberia
122219,Commitment,26/11/2014,5055260,"United States of America, Government of",United States,Heart to Heart International,Liberia
122220,Commitment,26/11/2014,24393170,"United States of America, Government of",United States,Partners in Health,Liberia
122221,Commitment,26/11/2014,4000000,"United States of America, Government of",United States,Relief International,Guinea
122222,Commitment,26/11/2014,1499203,"United States of America, Government of",United States,Save the Children,Guinea
122237,Commitment,26/11/2014,1891551,"Germany, Government of",Germany,Diakonie Katastrophenhilfe,Liberia
122239,Commitment,26/11/2014,1695980,"Germany, Government of",Germany,Diakonie Katastrophenhilfe,Sierra Leone
122241,Commitment,26/11/2014,1508821,"United States of America, Government of",United States,Plan International,Liberia
123553,Commitment,26/11/2014,4448399,"Canada, Government of",Canada,French Red Cross,
122185,Paid Contribution,26/11/2014,8451200,"United Kingdom, Government of",United Kingdom,"Sierra Leone, Government of",Sierra Leone
122451,Paid Contribution,26/11/2014,2500000,"United States of America, Government of",United States,United Nations Children's Fund,Sierra Leone
125716,Paid Contribution,26/11/2014,17584,"Denmark, Government of",Denmark,World Food Programme,
123389,Paid Contribution,26/12/2014,1000000,Bill and Melinda Gates Foundation,,GOAL,Sierra Leone
123392,Paid Contribution,26/12/2014,750000,Bill and Melinda Gates Foundation,,OXFAM America,
128825,Commitment,27/01/2015,47423,"Denmark, Government of",Denmark,Save the Children,Liberia
127428,Paid Contribution,27/02/2015,378768,UNICEF National Committee/Australia,,United Nations Children's Fund,
128678,Paid Contribution,27/02/2015,687500,Private (individuals & organizations),,World Food Programme,
127204,Paid Contribution,27/03/2015,20000,"Mauritius, Government of",Mauritius,Ebola Response Multi-Partner Trust Fund,
119970,Commitment,27/08/2014,1375516,European Commission's Humanitarian Aid and Civil Protection Department,,International Federation of Red Cross and Red Crescent Societies,Guinea
118912,Paid Contribution,27/08/2014,680333,"United States of America, Government of",United States,United Nations Children's Fund,Liberia
118988,Paid Contribution,27/08/2014,,"Brazil, Government of",Brazil,"Sierra Leone, Government of",Sierra Leone
118989,Paid Contribution,27/08/2014,,"Brazil, Government of",Brazil,,Guinea
118990,Paid Contribution,27/08/2014,,"Brazil, Government of",Brazil,"Liberia, Government of",Liberia
119327,Paid Contribution,27/08/2014,38282750,African Development Bank,,World Health Organization,
120023,Paid Contribution,27/08/2014,635324,"Finland, Government of",Finland,World Health Organization,
121579,Paid Contribution,27/08/2014,668449,"France, Government of",France,World Health Organization,
120850,Paid Contribution,27/10/2014,,IBM,,,
121161,Paid Contribution,27/10/2014,5658093,"United States of America, Government of",United States,United Nations Children's Fund,Liberia
121470,Paid Contribution,27/10/2014,,Private (individuals & organizations),,,Liberia
122295,Paid Contribution,27/10/2014,,"Japan, Government of",Japan,,Liberia
